Stav,Změna,Pavilon,Místnost,"IČ",Inv. číslo,Název,Typ,Podtyp,SN,"VYRAD",Datum pořízení,
,,1,23,S,5278,MIKROFON,RADIUM 100,,,,,
,,1,27,S,5409,PRODLUZOVACKA,5,,,,,
,,1,27,S,5408,,3,,,,,
,,1,07,S,5281,MIKROFON,RADIUM 100,,,,,
--,,1,1,UP,5921,NTB,Acer TravelMate,TMP215-56-72J7,NXVOAEC00314608287600,,,
--,,1,4,S,5309,NTB,Acer TravelMate,,,,2020,
,,1,6,S,4508,PROJEKTOR,Vivitek,,,,,
,,1,07,S,5570,PC,HP Prodesk,,,,,
--,,1,07,S,4334,TISKARNA,SHARP 6020N,,,,,
,,1,20,Š,3542/2,MONITOR,Samsung,SyncMAster B2240,,,,
--,,1,20,S,5917,NTB,Acer TravelMate,Vero N20C5,,,,
,,1,20,S,5355,PC,HP PRODESK 405 G6,,,,,
,,1,20,S,5823,TISKARNA,Epson,M1180,,,,
,,1,22,UP,4782,PC,HP COMPAQ ELITEDESK 800 G1,,,,,
,,1,22,S,4714,PROJEKTOR,Vivitek,,,,,
,,1,22,S,5085,REPRO,Genius,,,,,
,,1,23,UP,5949,3DTISK,Prusa Mini/NTB,,,,23.8.2022,76217 Kč
,,1,23,UP,5948,3DTISK,Prusa i3,,,,23.8.2022,47280
,,1,23,UP,5948,NTB,HP ProBo,,,,,
,,1,23,UP,5947,3DTISK,Raise3D Pro 2 Plus,,,,23.8.2022,159318
,D,1,23,S,4847,Monitor,Acer,K222HQL,,,29/03/2019,
,,1,23,S,4854,MONITOR,LCD CZ350CKbmiiphx,,,,29/03/2019,
q,,1,23,S,5119,5119,Acer Swift 3,SWIFT 3,,,,
,,1,23,S,5307,NTB,ASUS ROG ZEPHYRUS,,,,2020,
,,1,23,UP,5945,PC,ATComputers,RTX3070,,,,
,,1,23,S,4897,PC,HP EliteDesk 800G2,,,,,
,,1,24,UP,4768,MONITOR,HP,ZR22w,,,,
,,1,24,S,4411,repro,Genius,,,,,
,,1,25,UP,5731,PC,LYNX ,GTX770,,,,
,,1,25,UP,5732,PC,LYNX ,GTX771,,,,
,,1,25,UP,5733,PC,LYNX ,GTX772,,,,
,,1,25,UP,5734,PC,LYNX ,GTX773,,,,
,,1,25,UP,5735,PC,LYNX ,GTX774,,,,
,,1,25,UP,5736,PC,LYNX ,GTX775,,,,
,,1,25,UP,5737,PC,LYNX ,GTX776,,,,
,,1,25,UP,5738,PC,LYNX ,GTX777,,,,
,,1,25,UP,5739,PC,LYNX ,GTX778,,,,
,,1,25,UP,5740,PC,LYNX ,GTX779,,,,
,,1,25,UP,5741,PC,LYNX ,GTX780,,,,
,,1,25,UP,5742,PC,LYNX ,GTX781,,,,
,,1,25,UP,5743,PC,LYNX ,GTX782,,,,
,,1,25,UP,5744,PC,LYNX ,GTX783,,,,
,,1,26,S,5183,NTB,,,,,,
,,1,27,S,5315,CHROMEBO,,,,,,
,,1,27,S,5317,CHROMEBO,Acer TravelMate,,,,,
,,1,27,S,5384,MIKROFON,RADIUM 100,,,,,
,,1,27,Š,4683,MONITOR,Asus,VX248,,,,
,,1,27,S,4503,MONITOR,AOC,E2070S,,,,
,RWS,1,27,S,4850,MONITOR,Acer K200HQL,,,,,
,,1,27,S,5252,MYS,HP,X4000B,,,,
,,1,27,S,5257,MYS,HP,X4000B,,,,
,,1,27,S,5250,MYS,HP,X4000B,,,,
,,1,27,S,5261,MYS,HP,X4000B,,,,
,,1,27,UP,5922,NTB,Acer TravelMate,TMP215-56-72J7,,,,
,,1,27,S,5922,NTB,Acer,TravelMAte P,,,,
,,2,4,S,4502,PC,PC Lenovo TC Edge,,,,,
,,1,27,S,4843,PC,Acer,Veriton,,,,
,,1,27,S,4730,PC,HP COMPAQ 8200 ELITE,,,,,
,,1,27,S,5357,PC,HP PRODESK 405 G6,,,,,
,,1,27,S,4899,PC,HP EliteDesk 800G2,,,,,
,,1,27,S,5895,PC,Acer,MT2924 GTX,,,,
,,1,27,S,4813,REPRO,,,,,,
,,1,27,S,5084,REPRO,Genius,,,,,
,,1,27,S,5479,ROUTER,FORTIGATE,100E/F-60F,,,,
,,1,27,S,4348,SWITCH,HP 2530-24-G,,,,,
,,1,27,S,4978,TABLET,POCKETBO,,,,,
