Stav,Pavilon,Místnost,IČ,Inv. číslo,Název,Seznam,,Cena,Datum pořízení,IČ1,IČ2,Podtyp,Poznámka,SN,Typ,VYRAD,Změna,_source_2024,_source_2025
,1,23,S,5278,MIKROFON,,,,,,,,,,RADIUM 100,,,True,
,1,27,S,5409,PRODLUZOVACKA,,,,,,,,,,5,,,True,
,1,27,S,5408,,,,,,,,,,,3,,,True,
,1,07,S,5281,MIKROFON,,,,,,,,,,RADIUM 100,,,True,
--,1,1,UP,UP-5921,NTB,TRUE,,23 558.50,01.07.2022,UP,5921,TMP215-56-72J7,,NXVOAEC00314608287600,Notebook Acer TravelMate P2,,,True,True
--,1,4,S,S-5309,NTB,TRUE,,26 003.00,22.12.2020,S,5309,,,,Notebook Acer TravelMate,,,True,True
,1,6,S,S-4508,PROJEKTOR,TRUE,,38 135.00,25.12.2015,S,4508,,,,projektor VIVITEK-video,,,True,True
OK,1,07,S,S-5570,PC,TRUE,,16 637.50,29.12.2021,S,5570,,,,PC HP ProDesk 405G6 SFF,,,True,True
--,1,07,S,4334,TISKARNA,,,,,,,,,,SHARP 6020N,,,True,
,1,20,Š,3542/2,MONITOR,,,,,,,SyncMAster B2240,,,Samsung,,,True,
--,1,20,S,5917,NTB,,,,,,,Vero N20C5,,,Acer TravelMate,,,True,
,1,20,S,S-5355,PC,TRUE,,15 016.10,31.12.2020,S,5355,,,,PC HP Pro Desk 405 G6DM,,,True,True
,1,20,S,5823,TISKARNA,,,,,,,M1180,,,Epson,,,True,
OK,1,05,UP,UP-4782,PC,TRUE,,7 690.00,13.09.2018,UP,4782,,,,PC sestava elite desk 800,,,True,True
,1,22,S,S-4714,PROJEKTOR,TRUE,,37 950.00,24.11.2017,S,4714,,,,projektor Vivitek D757WT,,,True,True
OK,1,22,S,S-5085,REPRO,TRUE,,1 650.00,16.09.2020,S,5085,,,,Repro bedny Genius-set 2 ks,,,True,True
,1,23,UP,5949,3DTISK,,76217 Kč,,23.8.2022,,,,,,Prusa Mini/NTB,,,True,
OK,1,23,UP,5948,NTB,,47280,,23.8.2022,,,,,,HP ProBo,,,True,
,1,23,UP,5947,3DTISK,,159318,,23.8.2022,,,,,,Raise3D Pro 2 Plus,,,True,
,2,2,S,S-4847,MONITOR,TRUE,,2 350.00,29.03.2019,S,4847,K222HQL,,,"monitor-Acer LCD, LED 55 cm",,D,True,True
