stav,Změna,Pavilon,Místnost,IČ1,IČ2,Inv. číslo,Název,Typ,Podtyp,SN,"VYRAD
",Datum pořízení,Cena
,,,,S,5087,S-5087,,PO Acer Chromebook,,,,17.09.2020,14 790.00
,,,,S,5117,S-5117,,Acer Swift 3 ProBook,,,,23.10.2020,27 642.45
,,,,S,5118,S-5118,,Acer Swift 3 ProBook,,,,23.10.2020,27 642.45
,,,,S,5119,S-5119,,Acer Swift 3 ProBook,,,,23.10.2020,27 642.45
,,,,S,5483,S-5483,,Antivirový systém,,,,08.12.2021,84 745.50
,,,,S,5468,S-5468,,APC UPS pro servery 1,,,,08.12.2021,29 070.86
,,,,S,5469,S-5469,,APC UPS pro servery 2,,,,08.12.2021,29 070.86
,,,,S,5867,S-5867,,Apple iPad 2019-Space Gray,,,,01.11.2022,11 979.00
,,,,S,5868,S-5868,,Apple iPad 2019-Space Gray,,,,01.11.2022,11 979.00
,,,,S,5869,S-5869,,Apple iPad 2019-Space Gray,,,,01.11.2022,11 979.00
,,,,S,5870,S-5870,,Apple iPad 2019-Space Gray,,,,01.11.2022,11 979.00
,,,,S,5871,S-5871,,Apple iPad 2019-Space Gray,,,,01.11.2022,11 979.00
,,,,S,5872,S-5872,,Apple iPad 2019-Space Gray,,,,01.11.2022,11 979.00
,,,,S,5873,S-5873,,Apple iPad 2019-Space Gray,,,,01.11.2022,11 979.00
,,,,S,5874,S-5874,,Apple iPad 2019-Space Gray,,,,01.11.2022,11 979.00
,,,,S,5875,S-5875,,Apple iPad 2019-Space Gray,,,,01.11.2022,11 979.00
,,,,S,5876,S-5876,,Apple iPad 2019-Space Gray,,,,01.11.2022,11 979.00
,,,,S,5877,S-5877,,Apple iPad 2019-Space Gray,,,,01.11.2022,11 979.00
,,,,S,5878,S-5878,,Apple iPad 2019-Space Gray,,,,01.11.2022,11 979.00
,,,,S,5879,S-5879,,Apple iPad 2019-Space Gray,,,,01.11.2022,11 979.00
,,,,S,5880,S-5880,,Apple iPad 2019-Space Gray,,,,01.11.2022,11 979.00
,,,,S,5881,S-5881,,Apple iPad 2019-Space Gray,,,,01.11.2022,11 979.00
,,,,S,5882,S-5882,,Apple iPad 2019-Space Gray,,,,01.11.2022,11 979.00
