Místnost,Název zařízení,Inventární číslo
107,Počítač,Š4857
107,Monitor,Š4851
107,Počítač,Š5570
107,Monitor,Š2882
106,Počítač,Š4500
106,Monitor,Š4505
105,Počítač,UP4782
105,Monitor,Š4504
105,Reproduktory,Š4810
103,Počítač,Š4654
103,Monitor,Š3296
103,Reproduktory,Š4410
122,Počítač,Š4898
122,Monitor,Š4733
122,Reproduktory,Š5085
123,Počítač,Š4897
123,Monitor,UP4768
123,Reproduktory,Š4411
123,Počítač,UP5930
123,Monitor,UP6540
123,Monitor,UP6253
123,Reproduktory,bez čísla
123,Notebook HP,UP6331
123,Grafický tablet,Š5322
123,Počítač,UP5931
123,Počítač,UP5932
123,Počítač,UP5945
123,Počítač,UP5934
123,Počítač,UP5938
123,Počítač,UP5937
123,Počítač,UP5936
123,Počítač,UP5935
123,Počítač,UP5942
123,Počítač,UP5944
123,Počítač,UP5943
123,Počítač,UP5939
123,Počítač,UP5744
123,Počítač,UP5940
123,Počítač,UP5933
123,Počítač,UP5745
123,Notebook HP ProBook,UP5948
123,Monitor,Š4885
123,Monitor,Š4408
123,Monitor,Š4683
125,Počítač,UP4163
125,Počítač,UP4164
125,Počítač,UP4165
125,Počítač,UP4166
125,Počítač,UP4167
125,Počítač,Š4335
125,Počítač,UP4169
125,Počítač,UP4170
125,Počítač,UP4171
125,Počítač,UP4172
125,Počítač,UP5747
125,Počítač,UP4174
125,Počítač,UP4175
125,Počítač,UP4176
125,Počítač,bez čísla
125,Počítač,UP4178
125,Počítač,UP4179
125,Počítač,UP4180
125,Počítač,Š4501
125,Počítač,UP5742
125,Počítač,UP5741
125,Počítač,UP5740
125,Počítač,UP5739
125,Počítač,UP5738
125,Počítač,UP5732
125,Počítač,UP5733
125,Počítač,UP5736
125,Počítač,UP5737
125,Monitor,Š4625
125,Monitor,Š4031
125,Monitor,Š4627
125,Monitor,Š4648
125,Monitor,UP4177
125,Monitor,Š4483
125,Monitor,UP4173
125,Učitelský počítač,UP5743
125,Reprobedny,Š6496
125,Monitor,UP4766
125,Monitor,bez čísla
125,Monitor,Š3589
125,Monitor,Š3583
125,Monitor,Š3588
125,Monitor,Š3599
125,Monitor,Š3587
125,Monitor,Š3603
125,Monitor,Š3586
125,Monitor,UP3377
125,Monitor,UP3371
125,Monitor,UP3361
125,Monitor,UP3362
125,Monitor,UP3367
125,Monitor,UP3368
125,Monitor,Š3598
125,Monitor,Š3592
125,Monitor,Š3600
125,Monitor,Š3593
125,Monitor,Š3754
125,Monitor,UP3255
125,Počítač,Š4591
125,Monitor,Š2811
125,Reproduktor,Š6151
Kancelář,Počítač,bez čísla
Kancelář,3x Monitor Dell,bez čísla
127,Meteostanice,UP5953
127,iPad,UP5964
127,Tablet Acer Enduro,UP5960
127,Tablet Enduro,UP5959
127,Notebook HP,Š5116
127,Notebook Acer,Š6069
127,Chromebook Acer,Š5310
127,iPad,UP6163
127,Monitor Acer,Š3634 (vyřazeno)
127,Monitor Acer,2812 (vyřazeno)
127,Počítač,UP6247
127,Počítač,Š5356
127,Monitor,Š4413
127,Monitor,UP4623
127,Monitor HP,bez čísla
127,Monitor HP,bez čísla
127,Reproduktory,Š5084
131,Počítač,Š4627
131,Monitor,Š4626
131,Webkamera,Š5185
131,Reproduktory,Š4599
132,Počítač,UP6251
132,Monitor,Š4627
132,Reproduktory,Š4694
133,Počítač,UP6536
133,Monitor (Philips),4628
133,Reproduktory,Š4808
205,Počítač,Š4968
205,Monitor,Š4970
205,Reproduktory,Š5038
206,Počítač,Š4882
206,Monitor,Š6731
207,Počítač,Š4974
207,Monitor,Š2878
221,Počítač,Š4484
221,Monitor,Š4589
222,Počítač,Š5569
222,Monitor,Š4414
223,Počítač,Š4975
223,Monitor,Š4732
224,Počítač,Š4590
224,Monitor,Š2964
225,Počítač,Š4846
225,Monitor,Š4849
225,Reproduktory,bez čísla
226,Počítač,UP6538
226,Monitor,Š4581
226,Notebook,UP3528
228,Počítač,Š5568
228,Monitor,Š4848
231,Počítač,UP4762
231,Monitor,Š4503
231,Reproduktory,Š6495
232,Počítač,UP6252
232,Monitor,Š3710
232,Webkamera,Š5193
232,Reproduktory,Š5807
233,Počítač,UP6600
233,Monitor,UP3461
233,Reproduktory,Š4812
305,Počítač,UP5941
305,Monitor,UP6542
305,Monitor,UP4767
305,Reproduktor,Š4813
306,Počítač,UP4781
306,Monitor,UP4582
307,Počítač,Š4855
307,Monitor,Š4254
307,Reproduktory,Š3677
320,Počítač,Š5904
320,Monitor,Š5993
320,Monitor Acer,bez čísla
320,Notebook HP,UP5308
321,Notebook HP,UP5308
322,Počítač,UP6599
322,Monitor,Š4580
322,Reproduktory,Š4814
324,Počítač,UP6537
324,Monitor,Š2877
325,Počítač,Š4730
325,Monitor,UP3378
325,Reproduktory,Š6124
326,Počítač,Š4856
326,Monitor,Š4578
326,Reproduktory,Š6321
327,Počítač,UP6598
327,Monitor,Š3903
329,Počítač,Š4730
329,Monitor,Š3069
331,Počítač,Š4843
331,Monitor,Š4886
332,Počítač,Š4973
332,Monitor,Š4887
332,Reproduktory,Š4815
333,Počítač,4729
333,Monitor,Š4888
333,Reproduktory,Š4601
